Dataset	Celltype	Gene
Brain_PFC_MohammadisDavila2020	Endo	SLC7A5
Brain_PFC_MohammadisDavila2020	Endo	SLC9A3R2
Brain_PFC_MohammadisDavila2020	Endo	SLCO1A2
Brain_PFC_MohammadisDavila2020	Endo	SLCO2B1
Brain_PFC_MohammadisDavila2020	Endo	SP100
Brain_PFC_MohammadisDavila2020	Endo	SPARC
Brain_PFC_MohammadisDavila2020	Endo	SPTBN1
Brain_PFC_MohammadisDavila2020	Endo	SRGN
Brain_PFC_MohammadisDavila2020	Endo	ST6GAL1
Brain_PFC_MohammadisDavila2020	Endo	ST6GALNAC3
Brain_PFC_MohammadisDavila2020	Endo	ST8SIA6
Brain_PFC_MohammadisDavila2020	Endo	STOM
Brain_PFC_MohammadisDavila2020	Endo	SVIL
Brain_PFC_MohammadisDavila2020	Endo	SYNE2
Brain_PFC_MohammadisDavila2020	Endo	TACC1
Brain_PFC_MohammadisDavila2020	Endo	TAGLN2
Brain_PFC_MohammadisDavila2020	Endo	TANC1
Brain_PFC_MohammadisDavila2020	Endo	TBC1D4
Brain_PFC_MohammadisDavila2020	Endo	TFPI
Brain_PFC_MohammadisDavila2020	Endo	TFRC
Brain_PFC_MohammadisDavila2020	Endo	TGFBR2
Brain_PFC_MohammadisDavila2020	Endo	TGM2
Brain_PFC_MohammadisDavila2020	Endo	THSD4
Brain_PFC_MohammadisDavila2020	Endo	TIE1
Brain_PFC_MohammadisDavila2020	Endo	TJP1
Brain_PFC_MohammadisDavila2020	Endo	TM4SF1
Brain_PFC_MohammadisDavila2020	Endo	TMEM123
Brain_PFC_MohammadisDavila2020	Endo	TMEM2
Brain_PFC_MohammadisDavila2020	Endo	TMSB10
Brain_PFC_MohammadisDavila2020	Endo	TMSB4X
Brain_PFC_MohammadisDavila2020	Endo	TNS1
Brain_PFC_MohammadisDavila2020	Endo	TXNIP
Brain_PFC_MohammadisDavila2020	Endo	UACA
Brain_PFC_MohammadisDavila2020	Endo	UBC
Brain_PFC_MohammadisDavila2020	Endo	USP53
Brain_PFC_MohammadisDavila2020	Endo	UTRN
Brain_PFC_MohammadisDavila2020	Endo	VAMP5
Brain_PFC_MohammadisDavila2020	Endo	VIM
Brain_PFC_MohammadisDavila2020	Endo	VWF
Brain_PFC_MohammadisDavila2020	Endo	WWTR1
Brain_PFC_MohammadisDavila2020	Endo	XAF1
Brain_PFC_MohammadisDavila2020	Endo	YAP1
Brain_PFC_MohammadisDavila2020	Endo	YBX3
Brain_PFC_MohammadisDavila2020	Endo	ZBTB20
Brain_PFC_MohammadisDavila2020	Endo	ZEB1
